stroke,stroke-width,stroke-opacity,fill,fill-opacity,Name,GCI Score,cx,cy
#00b500,2,1,#00ae00,0.5,Oman,0.87,56.13323924943111,20.59197297788258
#00e600,2,1,#00cf00,0.5,Mauritius,0.82,57.5721490045666,-20.279631094142793
#00dc00,2,1,#00cf00,0.5,Australia,0.82,134.48746936444567,-25.788170124375632
#005e00,2,1,#007000,0.5,United States of America,0.91,-69.68098582670189,25.667437442702433
#77bb40,2,1,#00c000,0.5,Estonia,0.84,25.408159204650897,58.67789015388795
#00ff00,2,1,#00fe00,0.5,Georgia,0.81,43.55164421423838,42.18751272488852
#00ff00,2,1,#00fe00,0.5,France,0.81,2.4374931771608646,46.6151751770787
#00ff00,2,1,#00fe00,0.5,Canada,0.81,-100.70318738974889,58.67123018191815
#004400,2,1,#005000,0.5,Singapore,0.92,103.81978956533408,1.3525877016859014
#008500,2,1,#009100,0.5,Malaysia,0.89,109.75273275438582,3.795513986405475
