stroke,stroke-width,stroke-opacity,fill,fill-opacity,Name,MaliciousActivities,cx,cy
#831000,1.5,1,#ff4a4f,1,Israel,1%,34.994482401337336,31.450547043476995
#7f0000,1,1,#a40000,0.5,China,9%,103.87901509650354,36.551349613219365
#b51a00,2,1,#ff0050,0.5,Turkey,3%,35.05690777537453,39.09235423641447
#b51a00,2,1,#ff0050,0.5,Poland,3%,19.444614909198542,52.13051342538697
#ff0800,2,1,#ff344f,0.5,Taiwan,2%,120.93804361452014,23.738677795317653
#831000,2,1,#ff4a4f,0.5,Argentina,1%,-65.11144094342832,-35.54989647239696
#ff2600,2,1,#ff2600,0.5,Australia,1%,134.4911523154539,-25.789935836907773
#ff0800,1,1,#ff344f,0.5,Mexico,2%,-102.55724620411486,23.96119046132988
#000000,1,1,#780000,0.5,United States of America,23%,-69.68794312871404,25.66735553783397
#b51a00,2,1,#ff0050,0.5,India,3%,78.38529895382264,22.633425818797452
#3c071b,2,1,#ff0000,0.5,Brazil,4%,-52.99096259920762,-10.650863801537344
#b51a00,2,1,#ff0050,0.5,France,3%,2.4384139983638167,46.613791121960624
#b51a00,2,1,#ff0050,0.5,Italy,3%,12.336912728007963,43.068528784430065
#7f0000,2,1,#c40000,0.5,Germany,6%,10.40825705600588,51.13450813400379
#79193d,2,1,#ea0000,0.5,United Kingdom,5%,-2.988841470382993,54.16511696267546
#ff0800,1,1,#ff344f,0.5,Canada,2%,-100.70166292321042,58.669867627446955
#ff0800,1,1,#ff344f,0.5,Russia,2%,99.87879537359377,62.04351952803113
#3c071b,2,1,#ff0000,0.5,Spain,4%,-3.5533217019294208,40.38421703977053
#ff0800,2,1,#ff344f,0.5,South Korea,2%,127.79877660471173,36.38512919469804
#ff0800,2,1,#ff344f,0.5,Japan,2%,136.67810628974985,35.916063371784034
